Type_of_cement,w/c,Content_of_CNTs(%),External_diameter(nm),Length(μm),Functionalization_method,Curing_days,Curing_temperature(℃),Dispersion_method,FS(MPa)
1,0.45,0.0,20.0,250.25,2,28,30,1,6.7
1,0.45,0.5,20.0,250.25,2,28,30,1,8.4
1,0.2,0.1,4.0,1.25,1,28,20,2,9.1
1,0.2,0.5,4.0,1.25,1,28,20,2,10.6
1,0.2,0.8,4.0,1.25,1,28,20,2,9.0
1,0.2,0.1,25.0,1.25,1,28,20,2,13.5
1,0.2,0.5,25.0,1.25,1,28,20,2,11.1
1,0.2,0.8,25.0,1.25,1,28,20,2,11.9
1,0.2,0.1,4.0,20.0,1,28,20,2,12.9
1,0.2,0.5,4.0,20.0,1,28,20,2,11.9
1,0.2,0.8,4.0,20.0,1,28,20,2,12.4
1,0.2,0.1,25.0,20.0,1,28,20,2,12.6
1,0.2,0.5,25.0,20.0,1,28,20,2,12.0
1,0.2,0.8,25.0,20.0,1,28,20,2,12.6
1,0.2,0.1,4.0,1.25,3,28,20,2,11.0
1,0.2,0.5,4.0,1.25,3,28,20,2,15.3
1,0.2,0.8,4.0,1.25,3,28,20,2,7.8
1,0.2,0.1,4.0,1.25,2,28,20,2,10.3
1,0.2,0.5,4.0,1.25,2,28,20,2,13.4
1,0.2,0.8,4.0,1.25,2,28,20,2,9.7
1,0.2,0.1,4.0,20.0,3,28,20,2,9.1
1,0.2,0.5,4.0,20.0,3,28,20,2,10.8
1,0.2,0.8,4.0,20.0,3,28,20,2,11.0
1,0.2,0.1,4.0,20.0,2,28,20,2,13.0
1,0.2,0.5,4.0,20.0,2,28,20,2,11.7
1,0.2,0.8,4.0,20.0,2,28,20,2,13.4
1,0.33,0.0,60.0,10.0,1,28,20,3,4.0
1,0.33,0.025,60.0,10.0,1,28,20,3,4.3
1,0.33,0.05,60.0,10.0,1,28,20,3,4.6
1,0.33,0.1,60.0,10.0,1,28,20,3,5.2
1,0.35,0.0,30.0,10.0,1,28,25,4,11.0
1,0.35,0.05,30.0,10.0,1,28,25,4,11.7
1,0.35,0.08,30.0,10.0,1,28,25,4,15.8
1,0.35,0.1,30.0,10.0,1,28,25,4,15.0
1,0.35,0.12,30.0,10.0,1,28,25,4,13.1
1,0.35,0.15,30.0,10.0,1,28,25,4,10.5
1,0.4,0.5,20.0,250.25,5,28,30,5,9.6
1,0.4,0.5,20.0,250.25,1,28,30,5,10.0
1,0.4,0.03,15.0,20.0,1,3,25,2,8.7
1,0.4,0.03,25.0,20.0,1,3,25,2,7.7
1,0.4,0.03,40.0,20.0,1,3,25,2,7.6
1,0.4,0.03,15.0,20.0,1,7,25,2,9.8
1,0.4,0.03,25.0,20.0,1,7,25,2,8.6
1,0.4,0.03,40.0,20.0,1,7,25,2,9.2
1,0.4,0.03,15.0,20.0,1,28,25,2,12.7
1,0.4,0.03,25.0,20.0,1,28,25,2,11.5
1,0.4,0.03,40.0,20.0,1,28,25,2,9.8
1,0.4,0.08,15.0,20.0,1,3,25,2,6.3
1,0.4,0.08,25.0,20.0,1,3,25,2,7.1
1,0.4,0.08,40.0,20.0,1,3,25,2,6.9
1,0.4,0.08,15.0,20.0,1,7,25,2,8.5
1,0.4,0.08,25.0,20.0,1,7,25,2,8.4
1,0.4,0.08,40.0,20.0,1,7,25,2,8.3
1,0.4,0.08,15.0,20.0,1,28,25,2,11.8
1,0.4,0.08,25.0,20.0,1,28,25,2,10.5
1,0.4,0.08,40.0,20.0,1,28,25,2,10.7
1,0.4,0.15,15.0,20.0,1,3,25,2,7.4
1,0.4,0.15,25.0,20.0,1,3,25,2,7.4
1,0.4,0.15,40.0,20.0,1,3,25,2,9.0
1,0.4,0.15,15.0,20.0,1,7,25,2,11.0
1,0.4,0.15,25.0,20.0,1,7,25,2,9.4
1,0.4,0.15,40.0,20.0,1,7,25,2,10.4
1,0.4,0.15,15.0,20.0,1,28,25,2,13.2
1,0.4,0.15,25.0,20.0,1,28,25,2,11.4
1,0.4,0.15,40.0,20.0,1,28,25,2,12.0
1,0.4,0.25,15.0,20.0,1,3,25,2,7.4
1,0.4,0.25,25.0,20.0,1,3,25,2,7.4
1,0.4,0.25,40.0,20.0,1,3,25,2,8.8
1,0.4,0.25,15.0,20.0,1,7,25,2,11.0
1,0.4,0.25,25.0,20.0,1,7,25,2,9.4
1,0.4,0.25,40.0,20.0,1,7,25,2,10.4
1,0.4,0.25,15.0,20.0,1,28,25,2,13.2
1,0.4,0.25,25.0,20.0,1,28,25,2,11.7
1,0.4,0.25,40.0,20.0,1,28,25,2,12.0
1,0.4,0.03,20.0,1.25,1,3,25,2,7.7
1,0.4,0.08,20.0,1.25,1,3,25,2,7.0
1,0.4,0.15,20.0,1.25,1,3,25,2,8.6
1,0.4,0.25,20.0,1.25,1,3,25,2,9.9
1,0.4,0.03,20.0,1.25,1,7,25,2,10.1
1,0.4,0.08,20.0,1.25,1,7,25,2,7.7
1,0.4,0.15,20.0,1.25,1,7,25,2,10.5
1,0.4,0.25,20.0,1.25,1,7,25,2,11.8
1,0.4,0.03,20.0,1.25,1,28,25,2,12.1
1,0.4,0.08,20.0,1.25,1,28,25,2,10.1
1,0.4,0.15,20.0,1.25,1,28,25,2,12.8
1,0.4,0.25,20.0,1.25,1,28,25,2,14.8
2,0.5,0.0,8.5,1.0,1,7,20,1,7.6
2,0.5,0.05,8.5,1.0,1,7,20,1,6.5
2,0.5,0.1,8.5,1.0,1,7,20,1,6.0
2,0.5,0.25,8.5,1.0,1,7,20,1,5.7
2,0.5,0.5,8.5,1.0,1,7,20,1,6.7
2,0.5,0.0,8.5,1.0,1,28,20,1,7.8
2,0.5,0.05,8.5,1.0,1,28,20,1,7.9
2,0.5,0.1,8.5,1.0,1,28,20,1,7.5
2,0.5,0.25,8.5,1.0,1,28,20,1,7.4
2,0.5,0.5,8.5,1.0,1,28,20,1,7.5
1,0.45,0.0,15.0,20.0,1,28,23,5,11.6
1,0.45,0.044,15.0,20.0,1,28,23,5,11.6
1,0.45,0.088,15.0,20.0,1,28,23,5,11.4
1,0.45,0.1,15.0,20.0,1,28,23,5,11.0
1,0.45,0.2,15.0,20.0,1,28,23,5,12.0
1,0.45,0.3,15.0,20.0,1,28,23,5,12.5
1,0.45,0.044,15.0,20.0,2,28,23,5,10.7
1,0.45,0.088,15.0,20.0,2,28,23,5,10.9
1,0.45,0.1,15.0,20.0,2,28,23,5,11.2
1,0.45,0.2,15.0,20.0,2,28,23,5,12.3
1,0.45,0.3,15.0,20.0,2,28,23,5,12.4
1,0.4,0.0,15.0,20.0,1,28,23,2,10.5
1,0.4,0.03,15.0,20.0,1,28,23,2,11.1
1,0.4,0.08,15.0,20.0,1,28,23,2,10.7
1,0.4,0.15,15.0,20.0,1,28,23,2,13.5
1,0.4,0.25,15.0,20.0,1,28,23,2,16.3
1,0.4,0.35,15.0,20.0,1,28,23,2,16.4
1,0.4,0.5,15.0,20.0,1,28,23,2,16.9
